Group,Name,Team,Position,Service Time,Total Z-Score,LRank,ADP
A,Gerrit Cole,NYY,SP,10,25.3,15.0,17.0
A,Aaron Judge,NYY,OF,7,31.69,17.0,9.0
A,Pete Alonso,NYM,1B,5,14.19,22.0,22.0
A,Luis Castillo,SEA,SP,7,23.97,28.0,32.0
A,Max Fried,ATL,SP,6,-3.88,70.0,59.0
A,Nick Castellanos,PHI,OF,11,4.26,96.0,94.0
A,Teoscar Hernandez,LAD,OF,7,6.74,104.0,120.0
A,Paul Sewald,ARI,RP,6,18.27,126.0,114.0
A,Willy Adames,MIL,SS,7,3.07,144.0,169.0
A,Justin Verlander,HOU,SP,17,6.83,158.0,117.0
A,Alex Verdugo,NYY,OF,5,0.48,226.0,267.0
A,Ryan McMahon,COL,OF,6,5.99,266.0,238.0
A,Jeffrey Springs,TB,SP,6,0.0,360.0,374.0
A,Patrick Sandoval,LAA,SP,5,10.95,450.0,349.0
B,David Bednar,PIT,RP,3,12.47,53.0,93.0
B,Andres Gimenez,CLE,2B,3,1.76,113.0,109.0
B,Jonah Heim	,TEX,C,3,0.32,134.0,184.0
B,Isaac Paredes	,TB,"1B, 3B",3,3.64,138.0,183.0
B,Nolan Gorman,STL,2B,2,14.5,140.0,165.0
B,Brandon Pfaadt,ARI,SP,1,5.36,194.0,213.0
B,Jarred Kelenic,ATL,OF,3,6.85,227.0,202.0
B,Hunter Greene,CIN,SP,1,22.4,238.0,144.0
B,Shota Imanaga,CHC,SP,1,0.0,241.0,229.0
B,Tyler Wells,BAL,"SP, RP",3,9.16,355.0,378.0
B,DL Hall,MIL,RP,1,0.0,435.0,490.0
B,Miguel Vargas,LAD,"2B, 3B",1,-1.17,537.0,
C,Jackson Holliday,BAL,SS,0,0.0,288.0,231.0
C,Matt Mervis,CHC,1B,0,0.0,539.0,343.0
